threshold,precision,recall,f1
0.0,0.1340150699677072,1.0,0.23635500711912671
0.01,0.13406317300789664,1.0,0.2364298148441209
0.02,0.1371900826446281,1.0,0.24127906976744187
0.03,0.15389369592089,1.0,0.2667380824852705
0.04,0.18675,1.0,0.3147250895302296
0.05,0.2433931484502447,0.998661311914324,0.391395592864638
0.06,0.32003432003432003,0.998661311914324,0.48473034437946716
0.07,0.41137493097736055,0.9973226238286479,0.5824863174354965
0.08,0.5078498293515359,0.9959839357429718,0.6726943942133815
0.09,0.5980629539951574,0.9919678714859438,0.7462235649546828
0.1,0.6770356816102471,0.9906291834002677,0.8043478260869565
0.11,0.727630285152409,0.9906291834002677,0.8390022675736961
0.12,0.7778947368421053,0.9892904953145917,0.8709487330583382
0.13,0.8143646408839779,0.9866131191432396,0.8922518159806295
0.14,0.8558139534883721,0.9852744310575636,0.9159925326695706
0.15,0.8758949880668258,0.9825970548862115,0.9261829652996846
0.16,0.89119804400978,0.9759036144578314,0.931629392971246
0.17,0.9123904881101377,0.9759036144578314,0.943078913324709
0.18,0.9307692307692308,0.9718875502008032,0.9508840864440079
0.19,0.9379042690815006,0.9705488621151271,0.9539473684210527
0.2,0.9526938239159002,0.9705488621151271,0.9615384615384616
0.21,0.9563492063492064,0.9678714859437751,0.9620758483033932
0.22,0.9639519359145527,0.9665327978580991,0.9652406417112299
0.23,0.9676985195154778,0.9625167336010709,0.9651006711409396
0.24,0.9688346883468835,0.9571619812583668,0.9629629629629629
0.25,0.9727148703956344,0.9544846050870147,0.9635135135135136
0.26,0.9793103448275862,0.9504685408299867,0.9646739130434783
0.27,0.981994459833795,0.9491298527443106,0.9652825051055139
0.28,0.9847009735744089,0.9477911646586346,0.965893587994543
0.29,0.9846368715083799,0.9437751004016064,0.963773069036227
0.3,0.9859943977591037,0.9424364123159303,0.9637234770704997
0.31,0.9859550561797753,0.9397590361445783,0.9623029472241261
0.32,0.9858757062146892,0.9344042838018741,0.9594501718213059
0.33,0.9886201991465149,0.9303882195448461,0.9586206896551724
0.34,0.9885714285714285,0.9263721552878179,0.9564616447823082
0.35000000000000003,0.9899135446685879,0.9196787148594378,0.9535045107564192
0.36,0.9941860465116279,0.9156626506024096,0.9533101045296167
0.37,0.9941690962099126,0.9129852744310576,0.9518492672714585
0.38,0.9955817378497791,0.9049531459170014,0.9481065918653576
0.39,0.9985096870342772,0.8969210174029452,0.9449929478138223
0.4,0.9985029940119761,0.892904953145917,0.942756183745583
0.41000000000000003,0.9984939759036144,0.8875502008032129,0.9397590361445783
0.42,0.998468606431853,0.8728246318607764,0.9314285714285714
0.43,1.0,0.8661311914323963,0.9282639885222381
0.44,1.0,0.8621151271753681,0.9259525521207764
0.45,1.0,0.856760374832664,0.9228550829127613
0.46,1.0,0.8540829986613119,0.9212996389891697
0.47000000000000003,1.0,0.8460508701472557,0.9166062364031907
0.48,1.0,0.8393574297188755,0.9126637554585153
0.49,1.0,0.8246318607764391,0.9038884812912693
0.5,1.0,0.8179384203480589,0.8998527245949927
0.51,1.0,0.8058902275769746,0.8925129725722758
0.52,1.0,0.7831325301204819,0.8783783783783784
0.53,1.0,0.7764390896921017,0.8741522230595328
0.54,1.0,0.7643908969210174,0.866464339908953
0.55,1.0,0.7443105756358769,0.8534151957022257
0.56,1.0,0.7336010709504686,0.8463320463320463
0.5700000000000001,1.0,0.7215528781793842,0.838258164852255
0.58,1.0,0.7054886211512718,0.8273155416012559
0.59,1.0,0.6854082998661312,0.8133439237490071
0.6,1.0,0.678714859437751,0.8086124401913876
0.61,1.0,0.6653279785809906,0.7990353697749196
0.62,1.0,0.6465863453815262,0.7853658536585366
0.63,1.0,0.6224899598393574,0.7673267326732673
0.64,1.0,0.5997322623828648,0.7497907949790795
0.65,1.0,0.5729585006693441,0.7285106382978723
0.66,1.0,0.5555555555555556,0.7142857142857143
0.67,1.0,0.5301204819277109,0.6929133858267716
0.68,1.0,0.49531459170013387,0.6624888093106536
0.6900000000000001,1.0,0.4564926372155288,0.6268382352941176
0.7000000000000001,1.0,0.42570281124497994,0.5971830985915493
0.71,1.0,0.40829986613119146,0.5798479087452472
0.72,1.0,0.37617135207496655,0.546692607003891
0.73,1.0,0.34002677376171353,0.5074925074925075
0.74,1.0,0.30120481927710846,0.46296296296296297
0.75,1.0,0.2717536813922356,0.42736842105263156
0.76,1.0,0.250334672021419,0.4004282655246253
0.77,1.0,0.22757697456492637,0.3707742639040349
0.78,1.0,0.2074966532797858,0.3436807095343681
0.79,1.0,0.17670682730923695,0.3003412969283277
0.8,1.0,0.15127175368139223,0.2627906976744186
0.81,1.0,0.13654618473895583,0.24028268551236748
0.8200000000000001,1.0,0.10575635876840696,0.19128329297820823
0.8300000000000001,1.0,0.09906291834002677,0.18026796589524968
0.84,1.0,0.0856760374832664,0.15782983970406905
0.85,1.0,0.058902275769745646,0.11125158027812895
0.86,1.0,0.04685408299866131,0.08951406649616368
0.87,1.0,0.03614457831325301,0.06976744186046512
0.88,1.0,0.028112449799196786,0.0546875
0.89,1.0,0.020080321285140562,0.03937007874015748
0.9,1.0,0.013386880856760375,0.026420079260237782
0.91,1.0,0.012048192771084338,0.023809523809523808
0.92,1.0,0.012048192771084338,0.023809523809523808
0.93,1.0,0.004016064257028112,0.008
0.9400000000000001,1.0,0.002677376171352075,0.0053404539385847796
0.9500000000000001,1.0,0.0013386880856760374,0.00267379679144385
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
